fold,epoch,time
0,1,146.6374053955078
0,2,184.76219177246094
0,3,156.77796268463135
0,4,170.0105755329132
0,5,172.98303890228271
0,6,172.49756574630737
0,7,172.1543004512787
0,8,172.94022703170776
0,9,171.19836568832397
0,10,174.30104303359985
0,11,173.41135144233704
0,12,170.68040943145752
0,13,171.7698211669922
0,14,171.48609685897827
0,15,171.16542720794678
1,1,172.49880146980286
1,2,172.78482747077942
1,3,173.04058599472046
1,4,172.58818006515503
1,5,173.33491349220276
1,6,172.18538689613342
1,7,172.48451900482178
1,8,173.76834917068481
1,9,172.97920560836792
1,10,171.86814641952515
1,11,173.76457118988037
1,12,176.2523946762085
1,13,171.8570737838745
1,14,172.0298159122467
1,15,171.78636288642883
2,1,173.35420680046082
2,2,172.79097533226013
2,3,172.5749852657318
2,4,173.32563543319702
2,5,172.88814902305603
2,6,173.22619557380676
2,7,173.0807294845581
2,8,173.09691095352173
2,9,173.56704187393188
2,10,172.7637574672699
2,11,173.61190843582153
2,12,173.4550325870514
2,13,173.51020407676697
2,14,172.56448316574097
2,15,173.3107373714447
3,1,171.59923124313354
3,2,171.9064965248108
3,3,171.71880340576172
3,4,171.51026439666748
3,5,171.66018867492676
3,6,171.43629336357117
3,7,171.60317993164062
3,8,171.48381662368774
3,9,172.33646726608276
3,10,172.07299733161926
3,11,171.72343254089355
3,12,172.466459274292
3,13,172.0928680896759
3,14,171.73296308517456
3,15,171.41224694252014
4,1,168.928569316864
4,2,172.0164771080017
4,3,170.29924511909485
4,4,170.65716862678528
4,5,170.41014742851257
4,6,170.4370675086975
4,7,171.3707320690155
4,8,170.99667024612427
4,9,170.216379404068
4,10,169.40980768203735
4,11,168.12541151046753
4,12,168.96054077148438
4,13,169.34951090812683
4,14,168.76866698265076
4,15,169.34636521339417
