fold,epoch,train_loss,val_loss
0,1,0.6111681024233501,0.5461934208869934
0,2,0.425397257010142,0.38778330385684967
0,3,0.3180896451075872,0.2850944548845291
0,4,0.23163720071315766,0.1980002447962761
0,5,0.15154180973768233,0.12400731071829796
0,6,0.08707827404141426,0.0769665278494358
0,7,0.05282939473787943,0.05043965019285679
0,8,0.032583792507648465,0.038700658828020096
0,9,0.02003124387313922,0.029592832550406456
0,10,0.015113174480696519,0.026201538275927305
0,11,0.01257127116744717,0.025492710527032614
0,12,0.009874817666908104,0.02217564219608903
0,13,0.008185575157403946,0.01983218966051936
0,14,0.006695602151254813,0.019336305325850844
0,15,0.006605302511403958,0.018918686313554645
1,1,0.6414252281188965,0.5897417962551117
1,2,0.4776957829793294,0.4373576194047928
1,3,0.34691649278004966,0.3251180946826935
1,4,0.23519746561845142,0.2120506390929222
1,5,0.13936252593994142,0.12201167643070221
1,6,0.07251604919632276,0.07221045345067978
1,7,0.03787016135950883,0.0487444493919611
1,8,0.023975868771473566,0.031150925904512405
1,9,0.015533190034329892,0.026318857446312904
1,10,0.012216272919128338,0.021236130502074957
1,11,0.008929782764365275,0.01997243007645011
1,12,0.008293178118765353,0.01720549538731575
1,13,0.007089676537240545,0.015876223798841238
1,14,0.005674881658827265,0.014675183221697807
1,15,0.0056281521450728175,0.013497134204953909
2,1,0.6497764070828755,0.5868505239486694
2,2,0.4896486461162567,0.4169357120990753
2,3,0.36191892623901367,0.3027297109365463
2,4,0.26304832796255745,0.20790962874889374
2,5,0.17295941760142644,0.13060566782951355
2,6,0.10463923017183939,0.07913147658109665
2,7,0.0619645136098067,0.04589923843741417
2,8,0.03702115627626578,0.0297935688868165
2,9,0.023508858618636927,0.022590715438127518
2,10,0.018459987267851828,0.016602469142526388
2,11,0.012347159503648678,0.013935183174908161
2,12,0.010765088132272164,0.011174468323588371
2,13,0.008971239253878594,0.00961010018363595
2,14,0.0077043945280214155,0.008236950496211648
2,15,0.006114084009702007,0.007352716289460659
3,1,0.6607145309448242,0.5763650238513947
3,2,0.4749796609083811,0.42624324560165405
3,3,0.3527213275432587,0.3221222162246704
3,4,0.2489726742108663,0.23331868648529053
3,5,0.16397650490204493,0.15173643454909325
3,6,0.09779533396164576,0.09093526378273964
3,7,0.055279431367913884,0.05703897029161453
3,8,0.03319023145983616,0.03785525634884834
3,9,0.021753867591420808,0.027746026404201984
3,10,0.01571374402071039,0.02261300291866064
3,11,0.01140493992716074,0.018152934033423662
3,12,0.010014366762091716,0.015610318165272474
3,13,0.008546890287349621,0.0138698173686862
3,14,0.007177902478724718,0.012502606492489576
3,15,0.006092266039922833,0.010624807560816407
4,1,0.6278224945068359,0.562267929315567
4,2,0.4500858465830485,0.43564586341381073
4,3,0.3357830623785655,0.34285420179367065
4,4,0.24342951476573943,0.2390781044960022
4,5,0.16136718740065892,0.14562858641147614
4,6,0.09565543010830879,0.08556340634822845
4,7,0.05287155595918496,0.054160039871931076
4,8,0.0319587546090285,0.04099797643721104
4,9,0.022958528622984885,0.031525397673249245
4,10,0.01651386693120003,0.02825641818344593
4,11,0.01215310643116633,0.025043165311217308
4,12,0.010088025281826654,0.022898192517459393
4,13,0.009224005695432424,0.02125144423916936
4,14,0.0075750457278142376,0.020188061986118555
4,15,0.006439375504851341,0.019419774413108826
